CHURN_FLAG,REGION,MOST_FREQUENT_CATEGORY,SEASON,CUSTOMER_COUNT
Medium,Europe,Electronics,Summer,8
Low,Europe,Clothing,Spring,7
Low,Asia,Electronics,Summer,9
High,Asia,Clothing,Summer,8
Low,"North America",Sports,Fall,10
Medium,"North America",Clothing,Winter,8
Low,"North America",Home,Winter,13
Medium,"North America",Home,Fall,9
Low,Europe,Home,Spring,14
Low,Europe,Clothing,Fall,18
Low,Europe,Electronics,Fall,13
High,Europe,Electronics,Fall,8
High,Europe,Sports,Winter,6
High,Europe,Electronics,Spring,2
Medium,"North America",Sports,Fall,3
Low,"North America",Sports,Spring,7
Low,Europe,Home,Winter,15
High,Europe,Home,Summer,4
Low,Asia,Clothing,Winter,19
Low,Asia,Clothing,Fall,12
Low,"South America",Home,Spring,12
High,"South America",Home,Summer,4
Medium,Europe,Clothing,Spring,11
Medium,Europe,Clothing,Fall,6
Low,"South America",Sports,Winter,10
Medium,"South America",Sports,Spring,9
High,"North America",Electronics,Fall,4
Low,"North America",Electronics,Spring,13
Low,Europe,Electronics,Winter,14
High,Europe,Electronics,Winter,7
Medium,"South America",Electronics,Fall,8
Low,"South America",Electronics,Fall,18
Medium,"North America",Clothing,Summer,7
Medium,"North America",Clothing,Fall,9
High,"South America",Sports,Winter,7
Medium,"South America",Sports,Winter,2
Medium,"South America",Electronics,Spring,6
Medium,"North America",Electronics,Fall,8
Medium,"North America",Electronics,Winter,14
Low,"South America",Clothing,Spring,13
High,Asia,Sports,Winter,8
High,"South America",Clothing,Fall,6
Low,"South America",Clothing,Fall,16
Low,"North America",Clothing,Summer,7
Low,Asia,Home,Winter,14
High,Asia,Home,Winter,6
Medium,"North America",Home,Summer,5
Low,"North America",Home,Summer,6
Medium,"North America",Sports,Summer,2
Low,"North America",Sports,Summer,11
High,"North America",Clothing,Winter,8
Low,"North America",Clothing,Winter,3
Medium,Europe,Clothing,Summer,10
Low,Europe,Clothing,Summer,13
Low,"South America",Home,Fall,14
Low,Europe,Electronics,Spring,9
Low,Asia,Electronics,Winter,11
Medium,Asia,Electronics,Winter,6
Low,"North America",Sports,Winter,7
Medium,"South America",Clothing,Spring,4
Low,Asia,Sports,Fall,9
Low,"South America",Electronics,Summer,8
High,"South America",Electronics,Summer,2
Low,"North America",Electronics,Winter,19
Low,Europe,Home,Summer,11
Low,Asia,Clothing,Spring,9
Medium,"South America",Home,Winter,4
High,"South America",Home,Winter,4
Low,Asia,Home,Spring,8
High,Asia,Home,Spring,5
Medium,"South America",Electronics,Summer,10
Medium,Asia,Electronics,Summer,5
Low,Asia,Electronics,Spring,13
Low,"North America",Electronics,Fall,13
Low,"North America",Home,Spring,9
High,Asia,Home,Fall,5
High,Asia,Clothing,Fall,13
Low,Europe,Sports,Fall,19
High,"South America",Clothing,Spring,7
Medium,Asia,Clothing,Spring,9
Medium,"South America",Home,Spring,7
Low,"South America",Home,Summer,11
Low,"South America",Sports,Spring,9
High,"South America",Sports,Fall,8
Medium,Asia,Sports,Winter,6
High,Europe,Sports,Spring,5
