Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_between_Purchase,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sale_Date ,Season,Preferred_Purchase_Time,Retention_Strategy,Churn_Flag
CUST_OFH2OJ,PROD_J3BBU2,TRANS_DH0JF5,6,41.8,Electronics,58,Europe,0.41,9019.17,1/1/2020,4/26/2023,Spring,Morning,Email Campaign,Low
CUST_AAOVHG,PROD_H2XD5Q,TRANS_DH0JF6,13,58.36,Electronics,17,Asia,0.98,3756.91,1/1/2020,5/10/2023,Summer,Morning,Loyalty Program,High
CUST_LRVP29,PROD_L8RF6M,TRANS_DH0JF7,2,98.59,Sports,39,North America,0.58,6215.12,1/1/2020,12/6/2023,Winter,Afternoon,Email Campaign,Medium
CUST_NMWFVD,PROD_6IFYNB,TRANS_DH0JF8,7,103.98,Home,86,North America,0.53,6332.88,1/1/2020,8/17/2023,Fall,Morning,Loyalty Program,Medium
CUST_D36K4Y,PROD_RDAR84,TRANS_DH0JF9,18,116.19,Home,69,Europe,0.46,7175.19,1/1/2020,9/29/2023,Fall,Evening,Loyalty Program,Low
CUST_V071B2,PROD_U5XYVT,TRANS_DH0JF10,2,120.55,Electronics,25,Europe,0.86,4170.5,1/1/2020,9/13/2023,Fall,Afternoon,Discount,High
CUST_DDQ88R,PROD_VGGI3G,TRANS_DH0JF11,15,123.48,Sports,29,Europe,0.9,2934.9,1/1/2020,8/25/2023,Spring,Evening,Loyalty Program,High
CUST_Y6L99V,PROD_UZSWXK,TRANS_DH0JF12,6,178.55,Sports,84,North America,0.37,2814.13,1/1/2020,5/7/2023,Spring,Afternoon,Loyalty Program,Low
CUST_FSVS2T,PROD_8AU4RT,TRANS_DH0JF13,17,181.72,Home,22,Europe,0.81,8390.52,1/1/2020,9/8/2023,Summer,Morning,Discount,High
CUST_S76LW6,PROD_E4H4PU,TRANS_DH0JF14,15,184.38,Clothing,88,Asia,0.27,5080.03,1/1/2020,5/18/2023,Fall,Afternoon,Discount,Low
CUST_DLBL31,PROD_081L5W,TRANS_DH0JF15,9,28.46,Home,40,South America,0.88,4727.04,1/2/2020,11/30/2023,Summer,Afternoon,Email Campaign,High
CUST_AAWK6C,PROD_GM4V6O,TRANS_DH0JF16,8,82.43,Clothing,40,Europe,0.6,6236.82,1/2/2020,12/23/2023,Fall,Evening,Loyalty Program,Medium
CUST_VW09WG,PROD_G48TSN,TRANS_DH0JF17,19,87.26,Sports,15,South America,0.57,5413.73,1/2/2020,7/9/2023,Spring,Afternoon,Email Campaign,Medium
CUST_P38Q77,PROD_K5UE6C,TRANS_DH0JF18,1,98.7,Electronics,15,North America,0.11,5941.47,1/2/2020,3/10/2023,Spring,Evening,Email Campaign,Low
CUST_MGPNRL,PROD_VTRQZ7,TRANS_DH0JF19,8,114.24,Electronics,55,Europe,0.87,3620.15,1/2/2020,7/20/2023,Winter,Morning,Email Campaign,High
CUST_XDPPDT,PROD_J7ENHE,TRANS_DH0JF20,19,147.88,Electronics,60,Europe,0.01,6305.54,1/2/2020,12/26/2023,Fall,Afternoon,Discount,Low
CUST_VIFXW4,PROD_087GTG,TRANS_DH0JF21,14,39.16,Electronics,40,South America,0.01,3901.23,1/3/2020,6/22/2023,Fall,Morning,Loyalty Program,Low
CUST_4RDCAV,PROD_YMV0OH,TRANS_DH0JF22,9,66.05,Clothing,82,North America,0.7,9041.15,1/3/2020,7/26/2023,Fall,Evening,Email Campaign,Medium
CUST_9KMBKQ,PROD_O0SH45,TRANS_DH0JF23,6,134.16,Sports,82,South America,0.67,7498.27,1/3/2020,9/14/2023,Winter,Evening,Email Campaign,Medium
CUST_03VB70,PROD_INDEQO,TRANS_DH0JF24,16,138.66,Electronics,9,South America,0.66,2511.81,1/3/2020,5/15/2023,Spring,Evening,Email Campaign,Medium
CUST_PD9KP6,PROD_X6VQSP,TRANS_DH0JF25,16,153.51,Electronics,7,North America,0.75,5157.6,1/3/2020,8/5/2023,Winter,Afternoon,Email Campaign,Medium
CUST_WJX7A1,PROD_41VCEN,TRANS_DH0JF26,10,170.45,Home,44,South America,0.09,974.92,1/3/2020,6/26/2023,Spring,Morning,Loyalty Program,Low
CUST_MQNLX5,PROD_01R9VL,TRANS_DH0JF27,12,182.56,Clothing,80,South America,0.35,6322.69,1/3/2020,9/24/2023,Spring,Afternoon,Email Campaign,Low
CUST_4PMVIG,PROD_1NHKLL,TRANS_DH0JF28,1,191.37,Electronics,87,Europe,0.43,2975.75,1/3/2020,9/11/2023,Winter,Afternoon,Loyalty Program,Low
CUST_MC05PZ,PROD_00LPA9,TRANS_DH0JF29,19,30.58,Sports,50,Asia,0.9,1336.13,1/4/2020,5/2/2023,Winter,Evening,Email Campaign,High
CUST_H9QO81,PROD_9F75VW,TRANS_DH0JF30,4,39.8,Clothing,79,South America,0.47,4946.59,1/4/2020,3/28/2023,Fall,Afternoon,Loyalty Program,Low
